,Label,Outcome
18838,Other,sensitization
18839,Other,excitatory and inhibitory guidance mechanisms
18840,Other,vasodilatory effects
18841,Other,Reoperation
18842,Other,significant linear dose-response
18843,Other,heal
18836,Other,no urine leakage or formation of urinoma
18612,Other,pharmacokinetic (PK) profile
18826,Other,subjective ratings
18824,Other,tactile and cold stimuli
18808,Other,effectiveness of the CCDE program
18809,Other,shear-induced pathway of aspirin-treated platelets
18810,Other,Rates of virologic failure
18811,Other,drainage pattern
18812,Other,improved speed
18813,Other,core body temperature
18814,Other,pseudoloculation
18825,Other,Borg/VE slope
18815,Other,reduction from baseline values
18817,Other,comfortable
18818,Other,maintenance of perioperative radial arterial catheter patency and subsequent occlusion
18819,Other,of cold sores to ulcerative lesions
18820,Other,lead-time for the second screening round
18821,Other,strength of perceptual binding of audiovisual speech
18822,Other,SPID
18823,Other,average daily gain
18816,Other,slightly longer recurrence-free period
18922,Other,frequency with which gallium interfered with readings or time to complete the study
18611,Other,parasites play an important role in the multifactorial etiology of this condition and their eradication by deworming drugs gives better results than the traditional therapies
18609,Other,Mold was visible
18398,Other,CPSD
18399,Other,percentage decreases
18400,Other,Health Assessment Questionnaire (HAQ)
18401,Other,diastolic blood pressure
18402,Other,MRTF-A protein
18403,Other,greater relief
18404,Other,Operation times
18405,Other,improved analysis accuracy per segment
18406,Other,HRQOL
18407,Other,ketoprofen
18408,Other,significantly more and lengthier events of eye contact and turn-taking
18409,Other,less effect
18410,Other,clinical symptom remission rate
18411,Other,Conners Rating Scales
18412,Other,postoperative inflammation
18397,Other,Glucosamine in serum
18396,Other,"quality of life, work productivity"
18395,Other,SCORAD
18394,Other,homozygosity
18378,Other,bioavailability for S (+) -ibuprofen
18379,Other,improvement of subjective feelings
18380,Other,serum thromboxane B2 concentration
18381,Other,efficacy of ISDN and NTG
18382,Other,failed
18383,Other,sedation quality
18384,Other,prevention of cardiovascular events
18413,Other,overall length of stay
18385,Other,fractional clearance of albumin
18387,Other,prolongation of the duration of action
18388,Other,density
18389,Other,interaction between LPIN1 rs4315495 and dietary protein for TAG concentration
18390,Other,imaging pharmacodynamics
18391,Other,"Judgment during batting, batting skill during the game, and performance on skill drills prior to the game"
18392,Other,effectiveness of Interceed
18393,Other,Irregular uterine bleeding
18386,Other,EMG pattern
18377,Other,afterload
18414,Other,survival and safety
18416,Other,cognitive processes
18437,Other,time in hospital
18438,Other,safe and more effective
18439,Other,Inspection by direct palpation
18440,Other,mean decrease in CRT
18441,Other,Mu-power
18442,Other,prooxidation state
18443,Other,promoting imitation acquisition
18444,Other,non-accidental
18445,Other,STARS and SRF mRNA and decreases in MRTF-A mRNA with both ECC and CONC exercise
18446,Other,laboratory values
18447,Other,acceptability and extent of implementation of the intervention
18448,Other,Tidal volumes
18449,Other,clinical and laboratory characteristics
18450,Other,adhere to this medication
18451,Other,Psychiatric diagnostic assessments
18436,Other,worm eggs per fecal sample
18435,Other,average duration
18434,Other,anesthetic effect
18433,Other,maximal metabolic effect of glibenclamide
18417,Other,ratings of hyperactivity
18418,Other,intramucosal pH value
18419,Other,total hospital costs
18420,Other,"Cardiac output (CO), forearm blood flow (FABF) heart rate (HR) and blood pressure (BP)"
18421,Other,scores for the Mini-Mental State Examination (MMSE)
18422,Other,continence
18423,Other,CCT
18415,Other,improved or cured
18424,Other,have adequate antidepressant refills
18426,Other,rate of continuation
18427,Other,the post-operative peak expiratory flow rate and inspiratory capacity
18428,Other,adverse events
18429,Other,rates of sustained remission
18430,Other,Postoperative sedation
18431,Other,prostate screening resolution
18432,Other,subsequent survival
18425,Other,diet composition
18452,Other,recurrent hospitalization
18376,Other,CDAI
18374,Other,total blood volume
18320,Other,effective blood pressure
18321,Other,HRV
18322,Other,"fibrinogen, prothrombin fragment 1+2 (F1+2), plasma D-dimer, soluble tissue factor, tissue plasminogen activator (tPA) antigen, tPA activity, plasminogen activator inhibitor type-1 activity (PAI-1 activity) and serum D-dimer as a global test of fibrinolytic activity"
18323,Other,parameters
18324,Other,paddle force
18325,Other,in vitro oxidation
18326,Other,disability days
18327,Other,NAR
18328,Other,reduced
18329,Other,meiotic spindle competence
18330,Other,5-HIAA or histamine levels
18331,Other,staying in critical condition
18332,Other,median ( > 9 ) baseline drinking day frequency
18333,Other,specific allergen sensitization
18334,Other,parental dissatisfaction with the treatment service
18319,Other,Clinical pharmacology
18318,Other,mean rate of substitutions of calcium by Sr ions
18317,Other,investigator global assessment
18316,Other,post-ERCP pancreatitis
18300,Other,Plasma bupivacaine concentrations
18301,Other,inpatient hospital care )
18302,Other,Total peripheral resistance (TPR)
18303,Other,improved adherence relative to controls
18304,Other,endothelial variables
18305,Other,time to oral nutrition
18306,Other,incidence of apnoea
18335,Other,associated costs
18307,Other,amputation rate
18309,Other,Baseline measurements
18310,Other,longest attachment time
18311,Other,mean time to intubation
18312,Other,hospitalization for the management of heart failure
18313,Other,"Swanson, Nolan, and Pelham Questionnaire revised for DSM-IV (ADHD and ODD scales) and the Children 's Yale-Brown Obsessive Compulsive Scales for PDD"
18314,Other,grading of acute and late nonhematologic toxicities
18315,Other,quality of life ( QOL
18308,Other,area under the concentration-time curve
18375,Other,Safety and Performance
18336,Other,freedom from recurrence
18338,Other,time to response to verbal command
18359,Other,posttraumatic seizures
18360,Other,better self-esteem
18361,Other,recovery of the mean stroke volume index (SVI)
18362,Other,ABC had dropped
18363,Other,positive subscale of PANSS
18364,Other,insertion time
18365,Other,maximal EMG activity
18366,Other,equivalence
18367,Other,Gaze coordination
18368,Other,risk of remission
18369,Other,incidence of perineal tears
18370,Other,neurophysiological tests
18371,Other,Heart rate variability
18372,Other,Modulation of human motor cortex excitability
18373,Other,epithelial cells
18358,Other,WOMAC pain
18357,Other,C-terminal FGF23 concentrations
18356,Other,serologic testing
18355,Other,effectiveness
18339,Other,vital bone
18340,Other,hematological toxicity
18341,Other,CP
18342,Other,mean percent decrease in frequency of hot flushes
18343,Other,Assessment of language skills and parents ' behavioral assessments
18344,Other,"endurance, resistance, strength and coordination"
18345,Other,Exposure to the active metabolite SN-38
18337,Other,mean index score of EQ-5D
18346,Other,Reynell Developmental Language Scale (RDLS)
18348,Other,B-cell counts
18349,Other,the Child and Adolescent Symptom Inventory
18350,Other,facial acne lesion counts
18351,Other,predictive accuracy
18352,Other,right bundle-branch block
18353,Other,oxytocin response
18354,Other,maturational effect
18347,Other,analgesic effects
18453,Other,ratio of fluorescence after incubation
18454,Other,2 safety end points
18455,Other,self-assessment of night sleep for day-shift days and for fatigue
18555,Other,spoken vocabulary
18556,Other,cognitive battery
18557,Other,Diagnostic accuracy
18558,Other,incidence of loco-regional recurrences
18559,Other,"pharmacokinetic profile, tolerability and effect of the drug on serum cholesterol"
18560,Other,bioavailability of cyclosporin A
18561,Other,Post-Discharge Network Coordination Program
18562,Other,severity of ASD diagnosis
18563,Other,Safety and tolerability
18564,Other,Phosphorus
18565,Other,fibrin deposition
18566,Other,training heart rate
18567,Other,prevention
18568,Other,anti-anginal effect
18569,Other,general anaesthetics
18554,Other,69-month survival rate
18553,Other,change in sleep latency
18552,Other,Acute glucose infusion
18551,Other,synthesis of IL-1 beta
18535,Other,"motor skills ( p=0.034 ), coordination ( p=0.07 )"
18536,Other,improvement in urinary symptoms at the end of the study was similar for both groups
18537,Other,slight body weight gain
18538,Other,postnatal decrease in bone SOS
18539,Other,Clinical Global Impression (CGI) improvement item and the mean changes from baseline to study endpoint in total score on the social phobia subscale of the Marks Fear Questionnaire
18540,Other,self-reported access to post-release medical care
18541,Other,stroke-work index
18570,Other,stimulated or unstimulated saliva measurements
18542,Other,BMI
18544,Other,assessment of the entire procedure
18545,Other,preventing relapse of symptomatic AF
18546,Other,low-density lipoprotein (LDL) susceptibility to copper oxidation ex vivo
18547,Other,Voice and swallowing
18548,Other,HSQ score
18549,Other,resting
18550,Other,abdominal pain
18543,Other,reduced proteinuria
18534,Other,able to use ESRA-C quickly
18571,Other,improvement of vertigo and provoked nystagmus
18573,Other,death from arrhythmia
18594,Other,QLQ-C30 change scores
18595,Other,attendance at hospital outpatient clinics and general practice
18596,Other,well-tolerated and safe
18597,Other,benefit/disadvantage
18598,Other,market input and output prices
18599,Other,change from baseline at day 15 in the patient-assessed shoulder pain score
18600,Other,longer
18601,Other,LGG was well tolerated
18602,Other,rate of new IMI
18603,Other,mean +/- SD time to eye opening
18604,Other,profitable
18605,Other,symptom severity
18606,Other,Clinical Global Impression-Improvement (CGI-I) scale
18607,Other,sensory response to mechanical stimulation
18608,Other,U test and Friedman test
18593,Other,Cmax values
18592,Other,Patients ' visual assessment of linear scars rating of breasts
18591,Other,higher exercise-induced response
18590,Other,body mass index and sodium intake and to stop smoking
18574,Other,marked sedation
18575,Other,success rate for insertion of 18 gauge cannula into vein on back of hand
18576,Other,FMD
18577,Other,cardiovascular function
18578,Other,"laboratory blood assessments (CBC with differential, electrolytes, and liver function tests) and urinalyses"
18579,Other,Safety and pharmacokinetics
18580,Other,glycerol
18572,Other,clearance rates
18581,Other,cardiovascular response
18583,Other,rates of clinical failure
18584,Other,procedure-related vessel perforation
18585,Other,mean improvement rate
18586,Other,endoscopic ulcer healing rate
18587,Other,number of retrieved oocytes
18588,Other,actual total dose
18589,Other,brushing
18582,Other,Retention rates
18533,Other,antihypertensive efficacy and safety
18532,Other,X3 condition yielded the greatest accrual
18531,Other,lithogenic index
18476,Other,rehabilitation
18477,Other,Fasciculations
18478,Other,expensive
18479,Other,movement actometer readings
18480,Other,transurethral resection (TUR) of superficial bladder cancer
18481,Other,NIMH Global Obsessive Compulsive Scale
18482,Other,perception that the treatment
18483,Other,efficacy to a SnF (2) gel
18484,Other,burden on their relatives
18485,Other,incidence of infant mental health problems
18486,Other,improvements
18487,Other,complete remission (CR)
18488,Other,observed
18489,Other,arterial pressure and vascular resistances
18490,Other,"(shorter time of effect, superior tolerance in patients with ulceration)"
18475,Other,hemodynamic measurements
18474,Other,rebleeding rate
18473,Other,antibody titers
18472,Other,hospital length of stay
18456,Other,predictive value of APC
18457,Other,large-scale clinical efficacy studies
18458,Other,healing times
18459,Other,progressive disease (PD)
18460,Other,subtle changes in solute transport
18461,Other,motility
18462,Other,"AUC, Tmax, and Cmax"
18491,Other,favourable bacteriological response
18463,Other,notable differences
18465,Other,affectual responses
18466,Other,social isolation
18467,Other,"indicators of oxidative stress, immunity, and illness"
18468,Other,effectively
18469,Other,smoking outcomes
18470,Other,"spermiogram, testicular enzyme markers, intratesticular steroid hormonal profile and testicular antioxidant status"
18471,Other,intraperitoneal pH-values
18464,Other,Conners ' Teacher Questionnaire
18492,Other,confidence interval (CI)
18493,Other,Time to full recovery
18494,Other,statistically analyzed
18515,Other,time to tracheal extubation
18516,Other,reliable cuff pressure release
18517,Other,satisfied with the treatment
18518,Other,short term behavioural effects
18519,Other,reduction in IOP
18520,Other,steady-state volume of distribution for AmB
18521,Other,cardiovascular fitness (aerobic power)
18514,Other,Energy expenditure
18522,Other,Hospital Anxiety and Disability Scale (HADS)
18524,Other,"safety, efficacy"
18525,Other,maximum diameters
18526,Other,Septicemia
18527,Other,SF12 physical and mental summary component T-scores
18528,Other,correlation
18529,Other,history of falling. Falls
18530,Other,significantly more effective
18523,Other,"communication of adolescents and mothers, but not fathers"
18610,Other,extensive acoustical and aerodynamic in vivo registrations
18513,Other,clinical efficacy and favorable toxicity
18511,Other,95% confidence interval (CI)
18495,Other,v1.0 quit-success genotype score
18496,Other,motor control
18497,Other,colonoscopy benefit scores ( P < 0.001 )
18498,Other,AX continuous performance test (AX-CPT)
18499,Other,serum albumin
18500,Other,"Visual field progression, measured by Humphrey 24-2 full-threshold testing and assessed by the change in the mean deviation (MD)"
18501,Other,diuretic
18512,Other,clinician sun protection advice
18502,Other,BFI
18504,Other,Discharge Difficulty Scale
18505,Other,Roles of adapalene
18506,Other,pain management
18507,Other,reduces parasite burden
18508,Other,ability to perform usual activities
18509,Other,alpha-steroid metabolite profile
18510,Other,emotional function
18503,Other,functional
19549,Other,analgesic effects and patient safety
18923,Other,not influenced
18925,Other,transfusion rate
19337,Other,knowledge
19338,Other,10-Meter Walk Test (10 MWT)
19339,Other,Acute toxicity
19340,Other,carcass weight
19341,Other,pre-hospital thrombolytic strategy
19342,Other,rate
19343,Other,IPSS
19344,Other,mucous coating
19345,Other,grade 3/4 febrile neutropaenia
19346,Other,Mean total doses
19347,Other,"cost of conventional therapy ( $ 1,700/year"
19348,Other,hungry
19349,Other,inattentive and oppositional behavior
19350,Other,glomerular filtration rate
19351,Other,absorption rate
19336,Other,assess psychiatric symptoms and functional status
19335,Other,F0
19334,Other,accuracy
19333,Other,circulating triglycerides
19317,Other,Parents ' checklist ratings (ABC)
19318,Other,survival parameters
19319,Other,remission duration
19320,Other,relapse free
19321,Other,long-term-average spectrum (LTAS)
19322,Other,CMV disease
19323,Other,outpatient pharmacy costs
19352,Other,Recovery was rapid
19324,Other,conversion of AF to sinus rhythm confirmed in an electrocardiogram (ECG)
19326,Other,accuracy of TCT registration
19327,Other,economic advantage
19328,Other,adverse event
19329,Other,Tolerability
19330,Other,carryover or period effect
19331,Other,medications
19332,Other,"quality of life (QOL), work productivity, and medical resource utilization"
19325,Other,antiarrhythmic efficacy
19316,Other,acceleration of myeloid and platelet recovery
19353,Other,length of stay (LOS) on intensive care unit (ICU)
19355,Other,levels of ER expression
19376,Other,exclusive and appropriate infant feeding at 12 weeks post-natally and HIV-free infant survival
19377,Other,Per-protocol eradication rate
19378,Other,bladder injuries
19379,Other,complete (clinical plus mycological) cure of the target toenail
19380,Other,glucose homeostasis markers
19381,Other,composite endpoint
19382,Other,mean changes in visual acuity and lesion size at 1 year
19383,Other,Overall response
19384,Other,long-term indwelling
19385,Other,C urea breath
19386,Other,colon cleansing efficacy
19387,Other,reduction of gastric variceal size
19388,Other,completeness of the examination
19389,Other,task performances
19390,Other,adequate responses to treatment
19375,Other,ABP response
19374,Other,hemodynamic data
19373,Other,discontinued
19372,Other,urinary dopamine (DA)
19356,Other,safety profiles
19357,Other,fecal elastase 1
19358,Other,subjective response rate (partial plus complete)
19359,Other,stay at the intensive care unit
19360,Other,relative risk for recurrence
19361,Other,colorectal cancer (CRC) screening
19362,Other,resin-dentin microtensile bond strength
19354,Other,histiocytic lymphoma
19363,Other,Baseline tone and activity
19365,Other,plasma PAI-1
19366,Other,Abrasive wear
19367,Other,unemployment
19368,Other,hormone values
19369,Other,Type-4a MI
19370,Other,antimigraine efficacy
19371,Other,Neurophysiological responses to faces and gaze direction
19364,Other,variation in sensitivity
19391,Other,"changes in NAR and changes in ECP, MCT, MPO, and IL-8 in nasal lavage fluid"
19315,Other,average length of delay of standard treatment
19313,Other,The hazard ratio for hospitalization
19259,Other,free glycerol
19260,Other,neural activity
19261,Other,mobilization
19262,Other,tumour related survival (TRS)
19263,Other,rescue albuterol use
19264,Other,auditory evoked potential amplitude
19265,Other,protective effect
19266,Other,generalized social phobia
19267,Other,colon cancer screening knowledge
19268,Other,progression of their disease
19269,Other,volume in the pelvic drain
19270,Other,serum MMP-9
19271,Other,ability and attention
19272,Other,quality-adjusted life years
19273,Other,logistic regression models
19258,Other,enlargement and improvement of effective
19257,Other,"uterine weight, operating time, and drop in hemoglobin level"
19256,Other,Social Cognitive Theory
19255,Other,antenatal day admissions
19239,Other,health service use
19240,Other,EMG parameters
19241,Other,Resident knowledge
19242,Other,IL-6R mRNA response
19243,Other,Renal function
19244,Other,RQLQ (S) domains
19245,Other,Stage 1 sleep and the frequency of nocturnal awakenings
19274,Other,flux
19246,Other,"testis, epididymis, prostate, and seminal vesicles were weighed and subjected to histological examination"
19248,Other,G-CSF and GM-CSF
19249,Other,general muscular strength
19250,Other,Heart rate and systolic plus diastolic pressures
19251,Other,the Helping Alliance Questionnaire
19252,Other,Wakings per night
19253,Other,radiographic outcomes
19254,Other,improvement of ventricular systolic function
19247,Other,maximum H-reflex
19314,Other,"incidence of ephedrine use, incidence of nausea/vomiting"
19275,Other,intervention group showed a significantly greater improvement
19277,Other,the duration of the response
19298,Other,mean total ATEC scores
19299,Other,solar protection
19300,Other,daily diary
19301,Other,lack of efficacy
19302,Other,signs
19303,Other,FEV (1)
19304,Other,wool length
19305,Other,PR and catD concentrations
19306,Other,Discontinuation rates
19307,Other,Quality of life
19308,Other,low-density lipoprotein cholesterol level
19309,Other,panic frequency
19310,Other,Tsk time-course response
19311,Other,memory self-efficacy
19312,Other,initial claudication distance )
19297,Other,Intervals between calving and first oestrus
19296,Other,ABC irritability subscale
19295,Other,anti-Hib geometric mean concentration (GMC)
19294,Other,vital signs or clinical laboratory test profiles
19278,Other,Pharmacokinetics and relative bioavailability
19279,Other,acute changes of cardiovascular and metabolic reactions
19280,Other,visual analogue scale (VAS)
19281,Other,referred to a specialist
19282,Other,blood drainage
19283,Other,effective (based on egg per gram method) in eliminating S
19284,Other,parental rating on standardized questionnaires
19276,Other,false-positive cytologic or histologic reports
19285,Other,degree of ER positivity
19287,Other,total and personal daily living skills
19288,Other,not statistically significantly different
19289,Other,spirometry
19290,Other,duration of postoperative analgesia and total analgesic consumption
19291,Other,safety profile
19292,Other,"time required for catheter insertion, increase the likelihood of inserting the catheter on the first attempt (improved accuracy)"
19293,Other,attendance at hospital outpatient clinics
19286,Other,fluence
19392,Other,1 crutch
19393,Other,enhance analgesia
19394,Other,retention in treatment
19494,Other,visceral fat gain
19495,Other,loco-regional control
19496,Other,Objective responses
19497,Other,anti-CEA antibody titers
19498,Other,"aortic valve pathology, left ventricular function, and pressure gradients"
19499,Other,QLQ-C30 scores
19500,Other,recurrence-free
19501,Other,the number of substance
19502,Other,increased toxicity
19503,Other,field sensitivity and electroretinogram amplitude
19504,Other,number of days that intramuscular analgesic injections were required
19505,Other,emergency department visits
19506,Other,"analgesic efficacy, onset of action"
19507,Other,functional outcomes
19508,Other,Antimigraine efficacy
19493,Other,"hospital admission, remission duration"
19492,Other,fat thickness
19491,Other,AUC and Cmax of digoxin
19490,Other,prominent separation of response
19474,Other,recovery time
19475,Other,mean birth weight
19476,Other,testicular functions
19477,Other,VOD
19478,Other,utilising the guidebook
19479,Other,"serum TT3, TT4, FT3, FT4 and S-TSH contents"
19480,Other,laparoscopic instruments
19509,Other,active chronic suppurative otitis media
19481,Other,questionnaire data
19483,Other,functional cost effectiveness
19484,Other,neutropaenia
19485,Other,Inflammatory indices
19486,Other,time requirements
19487,Other,qualitative findings
19488,Other,Western Ontario and McMaster 's University Osteoarthritis Index (WOMAC) Pain Subscale (WOMAC-PS)
19489,Other,Strategies for Teaching based on Autism Research
19482,Other,rate of radiographic progression
19473,Other,scaling/hypertrophy and induration
19510,Other,human biting
19512,Other,publicly release
19533,Other,peripheral vasodilator profile
19534,Other,Annual transmission potential
19535,Other,antibiotic administration
19536,Other,air-abrasion
19537,Other,number of injections increased
19538,Other,deltaE
19539,Other,mechanical ventilation or stay at the intensive care unit
19540,Other,early cardiovascular events
19541,Other,"platelet aggregation, and platelet production of malondialdehyde"
19542,Other,clinical and biologic features
19543,Other,"mild adverse effects (nausea, vomiting, headache, hypotension and rash)"
19544,Other,Total intramuscular analgesic requirements in the first 24 hours
19545,Other,maximum i.v. PCA morphine use
19546,Other,Chalder fatigue questionnaire score
19547,Other,worsening of LV contractility
19532,Other,Infliximab concentrations
19531,Other,bleeding
19530,Other,reduction in steroid requirement
19529,Other,suction
19513,Other,comply with referral
19514,Other,PH-LPL measurements
19515,Other,feasibility
19516,Other,decreasing level of both ABC scores and the increasing level of the IQ scores
19517,Other,local tissue concentrations of TSI
19518,Other,Osstell
19519,Other,superior on parent-rated measures of hyperactivity and on direct observational measures of ear-occlusion
19511,Other,Postoperative complaints
19520,Other,clinical or pathological parameters
19522,Other,cardiovascular variables
19523,Other,Overall risk of cardiotoxicity
19524,Other,related symptoms
19525,Other,ABC-Irritability total subscale score
19526,Other,anticoagulant effects
19527,Other,negative predictive values
19528,Other,percentage of time that serum concentrations remain above the MIC (90) during the dosing interval ( T > MIC (90) )
19521,Other,median time from ED
19472,Other,duration of block
19471,Other,analgesics administration and hospital stay
19470,Other,"late (A, Ai) diastolic flow velocities and their ratio"
19415,Other,DR curve of the NO-treated patients
19416,Other,ratio between polyunsaturated and saturated fatty acids
19417,Other,cost-effectiveness
19418,Other,low frequency/high frequency ratio of HRV
19419,Other,total snore frequency
19420,Other,Children 's Yale-Brown Obsessive Compulsive Scale (C-YBOCS)
19421,Other,cigarette craving reduction and enhanced positive affect
19422,Other,transferrin saturation
19423,Other,degree of bronchial hyperresponsiveness
19424,Other,pCR
19425,Other,circulating neutrophil counts
19426,Other,abatement of fever
19427,Other,subject comfort
19428,Other,"clinician-assessed healing time and subject assessment of lesion protection, noticeability and social embarrassment"
19429,Other,defibrillation efficacy
19414,Other,summation threshold to heat stimuli
19413,Other,coagulation inhibitors
19412,Other,therapist 's personal qualities
19411,Other,Supplemental consumption of metamizol
19395,Other,Matsumoto
19396,Other,interruption task performance
19397,Other,sympathetic nerve activity
19398,Other,Utero-ovarian ultrasound analysis and color Doppler evaluation of uterine and stromal ovarian arteries
19399,Other,edge-effect evaluation
19400,Other,activation in the left parahippocampus
19401,Other,isometric strength
19430,Other,AX continuous performance test ( AX-CPT
19402,Other,acute prokinetic efficacy
19404,Other,provocative dose of methacholine
19405,Other,spatial memory task
19406,Other,relative risk reduction
19407,Other,ergometrine-induced coronary spasm
19408,Other,changes in ejection fraction
19409,Other,remained within 0.5 cm of their original position
19410,Other,Sternberg Memory Scanning Tests
19403,Other,postoperative bleeding
19431,Other,Verbal Comprehension Index (VCI) scores from the WISC-IV intelligence test
19432,Other,"changes in neutrophil, eosinophil, macrophage, lymphocyte, and epithelial cell levels in induced sputum"
19433,Other,optimal LPS concentration
19454,Other,high density lipoprotein subfraction two (HDL2)
19455,Other,amount of contrast administered
19456,Other,symptoms
19457,Other,long-term radiologic outcome
19458,Other,TSH response to TRH (25 micrograms in an intravenous bolus)
19459,Other,insulin resistant
19460,Other,clavicular shortening
19453,Other,ability to deal with anger and anxiety
19461,Other,treatment duration
19463,Other,anti-inflammatory
19464,Other,maximal moments
19465,Other,"inspiratory and expiratory time (TI, TE)"
19466,Other,postoperative hospital stay
19467,Other,evaluation of ECG for ischaemia and QT interval
19468,Other,drinking days
19469,Other,the Stroop Test
19462,Other,peer and adolescent substance use
19238,Other,tolerated. Isoprenaline sensitivity
19452,Other,outpatient treatment visits
19450,Other,sleep quality
19434,Other,vital status
19435,Other,cancer pain knowledge and changing attitudes
19436,Other,pressure rise > 20 mm Hg
19437,Other,clinical and functional outcomes
19438,Other,New York Heart Association class
19439,Other,modulation of the soleus H-reflex
19440,Other,pylori-positive
19451,Other,inhibitory bilastine plasma concentrations
19441,Other,"mean scores on any measure of language, behavior, or autism symptom severity"
19443,Other,evolution
19444,Other,"sick leave, and time to full recovery"
19445,Other,myocardial oxygen consumption index
19446,Other,duration of second stage of labour
19447,Other,negative inotropic effect
19448,Other,anastomotic leakage
19449,Other,alpha frequency
19442,Other,extensive diagnostic interventions
18924,Other,remainder of treatment
19237,Other,noradrenaline and adrenaline plasma kinetics and intra-arterial blood pressure measurements
19235,Other,American Shoulder and Elbow Surgeons (ASES) shoulder assessment form and a count of revisions
19024,Other,Bath Ankylosing Spondylitis Disease Activity Index (BASDAI) score
19025,Other,object-based representations
19026,Other,"Total power ( TP: < 0.40 Hz ), high-frequency power (HF: 0.15-0.40 Hz), low-frequency power (LF: 0.04-0.15 Hz)"
19027,Other,greatly improved
19028,Other,myeloperoxidase levels
19029,Other,gait
19030,Other,IL-2 and IL-4 synthesis in AD patients
19031,Other,GMT profiles
19032,Other,Non-evaporative heat exchange
19033,Other,Processing Speed Index score
19034,Other,repeated sprint and change of direction performance
19035,Other,fR
19036,Other,AUC (0-infinity)
19037,Other,bladder and rectal complications
19038,Other,client self report and physician estimate of adherence
19023,Other,Repetitive Behavior Scale-Revised
19022,Other,Hct
19021,Other,salbutamol use
19020,Other,survival after relapse
19004,Other,post-course scores
19005,Other,total cost
19006,Other,restenosis rate
19007,Other,ABC-I
19008,Other,Cumulative amount of i.v
19009,Other,self-management strategies
19010,Other,compliance
19039,Other,electroencephalographic activity
19011,Other,histopathological change
19013,Other,tolerable and safe
19014,Other,comprised of time to conversion and return of AF
19015,Other,admitted for labor during the dosing interval
19016,Other,ictal regularity
19017,Other,foetal outcome
19018,Other,"brachial blood pressure, plasma endothelin-1 and angiotensin II concentrations, femoral artery wall thickness, cardiac output, and systemic vascular resistance"
19019,Other,respiratory withdrawals
19012,Other,less gagging
19003,Other,Chinese medicine syndrome integrals
19040,Other,relapsed
19042,Other,"C (max), AUC (infinity), t (1/2), or CL/F"
19063,Other,dose limiting toxicities
19064,Other,choroidal blood flow
19065,Other,patient mobilization
19066,Other,changes in ECP
19067,Other,tolerated and safe
19068,Other,croup symptoms
19069,Other,gain in height standard deviation score H-SDSCA
19070,Other,baseline Holter monitoring
19071,Other,Analysis of treatment
19072,Other,reduction in hospital stay
19073,Other,incremental cost
19074,Other,viral titer area under the curve
19075,Other,4 weeks after opening the bottle remains as effective and safe
19076,Other,tolbutamide oral clearance
19077,Other,composite measure of global effectiveness
19062,Other,Aberrant Behavior Checklist irritability subscale
19061,Other,prethreshold retinopathy of prematurity (ROP)
19060,Other,mean diameter stenosis
19059,Other,no difference was observed between both slopes and intercepts
19043,Other,frequency with which results better
19044,Other,BP control rates
19045,Other,VARS of EQ-5D
19046,Other,No difference in efficacy
19047,Other,Plasma and tissue antioxidant status
19048,Other,phase separation
19049,Other,theory of mind (TOM) tasks
19041,Other,"safe, and cost-effective"
19050,Other,ocular health
19052,Other,Session completion
19053,Other,size of the bruising
19054,Other,Naltrexone Side-Effects (SE) Rating Scale
19055,Other,docosahexaenoic acid (DHA)
19056,Other,moderate-to-vigorous physical activity
19057,Other,significant decrease
19058,Other,satisfied
19051,Other,cathepsin D (catD)
19078,Other,curable
19002,Other,mortality
19000,Other,DSMIV physiological dependence
18946,Other,HBeAg/Anti-HBe seroconversion
18947,Other,impaired global visual perception
18948,Other,number of verbal attempts or number of correct words
18949,Other,Urine output
18950,Other,controlled
18951,Other,apparent clearance
18952,Other,medically cooperative
18953,Other,ejection fraction values
18954,Other,average VAS
18955,Other,Patient Health Questionnaire-9 (PHQ-9) depression scale
18956,Other,lipid variables
18957,Other,"outcome measures Family stress, support and empowerment"
18958,Other,irrigation fluid
18959,Other,plasma fibrinogen
18960,Other,differences were small
18945,Other,Aberrant Behavior Checklist-Community (ABC-C) Rating Scale (total score)
18944,Other,CETP mass
18943,Other,safe and effective treatment of moderate acne vulgaris
18942,Other,longer to perform ( median treatment time
18926,Other,long-term safety phase of up to 12 months
18927,Other,Placebo response rates
18928,Other,hospital stays
18929,Other,bilastine plasma concentrations
18930,Other,did not reach statistical significance
18931,Other,smoking cessation outcome
18932,Other,adenoids
18961,Other,dental esthetics
18933,Other,eclampsia
18935,Other,inattention
18936,Other,degree of stenosis
18937,Other,observed marginal cost per patient
18938,Other,relative risk of a disease-free survival event
18939,Other,grade of esthesioneuroblastomas
18940,Other,cardiac output measurements
18941,Other,same therapeutic effects
18934,Other,Aberrant Behavior Checklist irritability subscale score
19001,Other,beneficial
18962,Other,Mean visit duration
18964,Other,complication rates
18985,Other,parent and teacher behavioral ratings
18986,Other,complete remission
18987,Other,serum tissue factor and serum-mediated induction of cancer cell invasion
18988,Other,diffused application
18989,Other,repeatedly reusable and considerably cheaper
18990,Other,lymphocyte activation marker
18991,Other,anaesthetic time
18992,Other,tumor response
18993,Other,HER2 overexpression/amplification
18994,Other,otoscopic examination
18995,Other,overcoming barriers to employment
18996,Other,remember more
18997,Other,nurse and patient communication profiles
18998,Other,number of ventilator days
18999,Other,no significant change
